cement_co2,co2,coal_co2,gas_co2,oil_co2,share_global_co2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.117,0.117,0.0,0.0,0.003
0.0,0.121,0.086,0.0,0.036,0.002
0.002,0.134,0.079,0.0,0.053,0.002
0.002,0.19,0.092,0.0,0.096,0.004
0.002,0.993,0.498,0.0,0.493,0.017
0.002,1.226,0.654,0.0,0.57,0.019
0.002,1.295,0.67,0.0,0.623,0.02
0.003,1.318,0.609,0.0,0.706,0.02
0.003,1.339,0.547,0.0,0.788,0.02
0.003,1.379,0.517,0.008,0.851,0.019
0.003,1.634,0.66,0.041,0.93,0.021
0.005,1.689,0.607,0.061,1.016,0.021
0.005,1.896,0.655,0.075,1.162,0.023
0.004,1.84,0.539,0.088,1.209,0.021
0.005,2.212,0.726,0.131,1.35,0.024
0.005,2.29,0.715,0.159,1.411,0.024
0.006,2.517,0.763,0.197,1.551,0.026
0.006,2.893,0.815,0.244,1.828,0.028
0.006,2.975,0.8,0.309,1.859,0.027
0.007,3.121,0.753,0.364,1.997,0.028
0.007,3.176,0.644,0.407,2.119,0.027
0.008,3.371,0.633,0.475,2.255,0.028
0.01,3.866,0.682,0.529,2.644,0.03
0.011,3.749,0.65,0.673,2.415,0.027
0.011,3.803,0.615,0.56,2.617,0.026
0.011,3.606,0.552,0.596,2.447,0.023
0.01,3.506,0.355,0.714,2.426,0.022
0.014,4.55,0.462,1.143,2.931,0.027
0.04,4.653,0.411,1.382,2.82,0.027
0.075,4.857,0.473,0.964,3.345,0.028
0.067,5.556,0.447,1.412,3.63,0.031
0.131,5.785,0.502,1.579,3.572,0.031
0.14,5.984,0.421,1.674,3.748,0.031
0.131,6.613,0.359,1.916,4.206,0.034
0.134,7.597,0.447,2.216,4.801,0.039
0.133,7.886,0.465,2.44,4.847,0.041
0.121,8.552,0.568,3.164,4.699,0.045
0.113,8.188,0.304,3.521,4.25,0.043
0.097,9.077,0.117,4.466,4.397,0.046
0.084,10.189,0.187,5.084,4.835,0.05
0.099,11.406,0.282,5.734,5.291,0.055
0.101,11.8,0.443,5.928,5.327,0.056
0.098,13.478,0.381,6.998,6.002,0.061
0.097,13.382,0.103,7.416,5.767,0.06
0.1,14.082,1.07,7.575,5.337,0.062
0.079,14.742,0.341,9.057,5.265,0.063
0.075,15.38,0.322,9.607,5.375,0.068
0.073,16.063,0.121,10.391,5.478,0.07
0.072,17.538,0.099,11.474,5.893,0.076
0.069,21.042,1.22,13.029,6.723,0.089
0.154,21.493,0.678,13.498,7.163,0.089
0.229,23.126,1.227,13.262,8.408,0.095
0.269,23.198,0.352,14.325,8.253,0.095
0.431,25.075,0.176,15.616,8.852,0.101
0.704,26.525,1.253,16.88,7.687,0.104
0.935,31.035,1.33,18.903,9.867,0.121
0.885,31.981,1.33,19.886,9.881,0.122
0.835,33.459,1.367,21.39,9.867,0.121
0.785,35.945,1.451,23.088,10.621,0.126
0.751,37.677,1.605,24.722,10.599,0.127
0.7,41.689,1.81,28.257,10.922,0.136
0.682,42.642,2.209,29.579,10.171,0.135
0.699,45.301,2.47,32.225,9.907,0.141
0.699,49.148,3.015,35.442,9.992,0.156
0.68,53.992,3.074,39.397,10.841,0.162
0.695,56.556,2.836,39.626,13.399,0.164
0.675,60.708,3.422,41.715,14.88,0.174
0.743,61.799,3.748,43.332,13.959,0.175
0.752,66.009,3.507,45.934,15.785,0.186
1.062,73.158,8.607,48.742,14.689,0.206
1.116,76.203,6.075,53.549,15.436,0.215
1.206,80.742,7.152,53.664,18.708,0.224
1.394,82.556,8.178,53.379,19.585,0.225
1.496,100.792,15.004,59.413,24.852,0.272
1.39,93.615,8.68,59.997,23.52,0.267
1.514,98.76,6.853,61.105,29.24,0.268
1.514,102.103,8.223,58.328,34.0,0.275
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.004,0.0,0.0,0.004,0.0
0.0,0.004,0.0,0.0,0.004,0.0
0.0,0.007,0.0,0.0,0.007,0.0
0.0,0.004,0.0,0.0,0.004,0.0
0.0,0.004,0.0,0.0,0.004,0.0
0.0,0.004,0.0,0.0,0.004,0.0
0.0,0.004,0.0,0.0,0.004,0.0
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.004,0.0,0.0,0.004,0.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.004,0.0,0.004,0.0,0.0
0.0,0.004,0.0,0.004,0.0,0.0
0.0,0.004,0.0,0.004,0.0,0.0
0.0,0.073,0.004,0.004,0.066,0.001
0.0,0.11,0.004,0.007,0.099,0.002
0.0,0.088,0.004,0.007,0.077,0.001
0.0,0.11,0.004,0.007,0.099,0.002
0.0,0.114,0.004,0.007,0.103,0.002
0.0,0.128,0.004,0.007,0.117,0.002
0.0,0.128,0.004,0.007,0.117,0.002
0.0,0.136,0.004,0.007,0.125,0.002
0.0,0.15,0.004,0.007,0.139,0.002
0.0,0.15,0.004,0.007,0.139,0.002
0.0,0.172,0.004,0.004,0.165,0.002
0.0,0.194,0.004,0.007,0.183,0.002
0.0,0.26,0.004,0.007,0.249,0.003
0.0,0.191,0.0,0.007,0.183,0.002
0.0,0.18,0.0,0.007,0.172,0.002
0.0,0.205,0.0,0.007,0.198,0.002
0.0,0.267,0.004,0.007,0.256,0.002
0.0,0.337,0.004,0.007,0.326,0.003
0.0,0.44,0.0,0.007,0.432,0.003
0.0,0.48,0.0,0.007,0.473,0.003
0.0,0.429,0.0,0.007,0.421,0.003
0.0,0.484,0.0,0.007,0.476,0.003
0.0,0.502,0.0,0.004,0.498,0.003
0.0,0.48,0.0,0.007,0.473,0.003
0.0,0.491,0.0,0.004,0.487,0.003
0.0,0.568,0.0,0.004,0.564,0.003
0.0,0.531,0.0,0.007,0.524,0.003
0.0,0.59,0.0,0.007,0.583,0.003
0.0,0.63,0.0,0.018,0.612,0.003
0.0,0.601,0.0,0.022,0.579,0.003
0.0,0.674,0.0,0.026,0.649,0.003
0.0,0.685,0.0,0.015,0.671,0.004
0.0,0.645,0.0,0.018,0.627,0.003
0.0,0.685,0.0,0.022,0.663,0.004
0.073,0.747,0.0,0.037,0.637,0.004
0.109,0.846,0.0,0.048,0.689,0.004
0.098,0.915,0.0,0.051,0.766,0.004
0.102,0.941,0.0,0.044,0.796,0.004
0.091,0.945,0.0,0.051,0.802,0.004
0.106,0.989,0.0,0.055,0.828,0.004
0.099,1.275,0.0,0.051,1.125,0.006
0.099,1.418,0.0,0.044,1.275,0.006
0.087,1.362,0.0,0.037,1.238,0.006
0.031,1.097,0.0,0.037,1.029,0.005
0.039,1.164,0.0,0.037,1.088,0.005
0.037,1.283,0.0,0.033,1.213,0.005
0.053,1.339,0.0,0.029,1.257,0.006
0.086,1.54,0.0,0.037,1.418,0.006
0.128,1.572,0.0,0.033,1.411,0.006
0.126,1.653,0.0,0.044,1.484,0.007
0.133,1.749,0.0,0.037,1.579,0.007
0.124,1.652,0.0,0.029,1.499,0.006
0.148,1.658,0.0,0.029,1.48,0.006
0.153,1.699,0.0,0.029,1.514,0.006
0.152,1.72,0.0,0.029,1.535,0.006
0.154,1.762,0.0,0.029,1.576,0.006
0.152,1.775,0.0,0.037,1.583,0.006
0.15,1.802,0.0,0.037,1.616,0.006
0.143,2.081,0.0,0.033,1.902,0.006
0.113,2.0,0.0,0.033,1.851,0.006
0.101,1.845,0.0,0.029,1.711,0.006
0.098,1.942,0.0,0.033,1.807,0.006
0.078,1.803,0.0,0.037,1.685,0.005
0.071,1.822,0.0,0.044,1.704,0.005
0.071,1.69,0.0,0.04,1.55,0.005
0.071,1.686,0.0,0.037,1.543,0.005
0.071,1.694,0.0,0.037,1.554,0.005
0.106,1.645,0.0,0.037,1.476,0.005
0.106,1.656,0.0,0.048,1.484,0.005
0.106,1.667,0.0,0.044,1.499,0.004
0.079,1.234,0.0,0.029,1.114,0.004
0.106,1.226,0.0,0.036,1.073,0.003
0.106,1.233,0.0,0.033,1.083,0.003
,0.001,0.001,0.0,0.0,0.001
,0.001,0.001,0.0,0.0,0.001
,0.0,0.0,0.0,0.0,0.0
,0.001,0.001,0.0,0.0,0.001
,0.003,0.003,0.0,0.0,0.002
,,,,,
,,,,,
,,,,,
,,,,,
,0.01,0.01,0.0,0.0,0.004
,,,,,
,,,,,
,0.013,0.013,0.0,0.0,0.005
,0.014,0.014,0.0,0.0,0.005
,0.019,0.016,0.0,0.003,0.006
,0.024,0.021,0.0,0.003,0.007
,0.022,0.019,0.0,0.003,0.006
,0.023,0.019,0.0,0.004,0.006
,0.025,0.02,0.0,0.005,0.006
,0.024,0.018,0.0,0.006,0.006
,0.077,0.069,0.0,0.008,0.017
,0.088,0.077,0.0,0.011,0.018
,0.073,0.055,0.0,0.018,0.015
,0.1,0.081,0.0,0.019,0.019
,0.108,0.089,0.0,0.019,0.02
,0.146,0.129,0.0,0.017,0.026
,0.15,0.132,0.0,0.018,0.024
,0.14,0.105,0.0,0.035,0.021
,0.171,0.118,0.0,0.052,0.027
,0.196,0.121,0.0,0.075,0.029
,0.244,0.133,0.0,0.111,0.035
,0.249,0.113,0.0,0.136,0.036
,0.325,0.155,0.0,0.17,0.046
,0.333,0.14,0.0,0.193,0.044
,0.391,0.168,0.0,0.223,0.046
,0.412,0.147,0.0,0.265,0.047
,0.434,0.151,0.0,0.283,0.046
,0.494,0.176,0.0,0.318,0.05
,0.502,0.131,0.0,0.371,0.05
,0.546,0.122,0.0,0.424,0.054
,0.56,0.124,0.0,0.437,0.055
,0.593,0.107,0.0,0.486,0.055
,0.618,0.106,0.0,0.512,0.052
,0.668,0.126,0.0,0.542,0.056
,0.756,0.131,0.0,0.626,0.058
,0.833,0.125,0.0,0.708,0.061
,0.882,0.136,0.0,0.746,0.064
,1.033,0.157,0.0,0.876,0.076
,1.052,0.184,0.0,0.868,0.075
,1.209,0.168,0.0,1.041,0.081
,1.231,0.177,0.0,1.054,0.08
,1.423,0.209,0.0,1.214,0.088
,1.596,0.232,0.0,1.364,0.094
,1.852,0.3,0.0,1.551,0.1
,2.098,0.327,0.0,1.77,0.107
,2.154,0.296,0.0,1.857,0.107
,2.08,0.296,0.0,1.784,0.101
,2.035,0.323,0.0,1.712,0.09
,2.264,0.39,0.0,1.873,0.099
,2.021,0.438,0.0,1.583,0.083
,2.305,0.501,0.0,1.804,0.091
,2.581,0.597,0.0,1.984,0.089
,2.597,0.604,0.0,1.993,0.094
,2.742,0.629,0.0,2.113,0.095
,2.689,0.582,0.0,2.107,0.089
,2.788,0.665,0.0,2.123,0.091
,3.158,0.839,0.0,2.319,0.098
,3.431,1.012,0.0,2.419,0.098
,3.096,0.8,0.0,2.296,0.097
,2.842,0.613,0.0,2.228,0.091
,3.029,0.651,0.0,2.377,0.089
,2.788,0.624,0.0,2.164,0.079
,1.112,0.233,0.0,0.878,0.032
,0.95,0.13,0.0,0.82,0.031
,0.866,0.125,0.0,0.741,0.025
,0.939,0.156,0.001,0.782,0.03
,1.145,0.189,0.001,0.956,0.035
,1.265,0.205,0.0,1.06,0.034
,1.507,0.289,0.004,1.214,0.041
,1.488,0.259,0.007,1.222,0.04
,2.155,0.471,0.009,1.675,0.059
,2.68,0.607,0.01,2.063,0.067
0.021,2.969,0.754,0.012,2.183,0.075
0.026,3.199,0.71,0.013,2.451,0.075
0.034,4.358,0.673,0.013,3.638,0.111
0.036,5.236,0.801,0.022,4.377,0.149
0.038,5.894,1.124,0.03,4.702,0.186
0.03,6.586,1.413,0.038,5.106,0.197
0.039,7.964,1.828,0.051,6.046,0.219
0.05,9.011,2.221,0.063,6.677,0.236
0.065,10.327,2.67,0.082,7.51,0.247
0.061,10.563,2.674,0.086,7.743,0.236
0.063,11.149,2.812,0.086,8.188,0.265
0.063,11.286,2.863,0.087,8.273,0.254
0.064,13.526,3.948,0.14,9.374,0.278
0.065,11.888,3.046,0.0,8.778,0.239
,6.475,0.863,0.0,5.613,0.131
,6.758,1.121,0.0,5.637,0.134
,9.8,1.759,0.0,8.041,0.191
0.02,10.362,3.578,0.161,6.603,0.243
0.038,11.636,3.944,0.182,7.472,0.25
0.054,14.007,4.708,0.221,9.023,0.272
0.074,14.897,4.82,0.238,9.766,0.275
0.09,16.933,5.377,0.242,11.224,0.327
0.118,18.865,5.956,0.319,12.472,0.318
0.14,20.439,6.47,0.346,13.484,0.32
0.159,21.89,6.642,0.342,14.748,0.338
0.18,23.16,6.77,0.357,15.852,0.348
0.215,25.29,7.282,0.386,17.407,0.372
0.255,28.679,8.038,0.454,19.932,0.385
0.282,31.458,8.311,0.59,22.275,0.397
0.328,34.43,8.67,0.896,24.535,0.421
0.379,36.759,8.638,1.285,26.457,0.437
0.442,38.653,8.574,1.587,28.049,0.437
0.519,40.253,8.285,1.943,29.506,0.429
0.581,41.532,7.834,2.422,30.695,0.441
0.656,43.62,7.421,2.868,32.675,0.448
0.699,46.796,7.558,3.446,35.092,0.456
0.745,49.778,7.703,4.143,37.188,0.46
0.831,52.812,7.903,4.755,39.323,0.467
0.92,55.782,8.081,5.212,41.569,0.47
0.976,58.36,7.902,5.534,43.949,0.477
1.009,60.029,7.611,5.835,45.575,0.465
1.036,62.538,7.563,6.117,47.822,0.454
1.101,65.798,7.923,5.568,51.206,0.442
1.144,69.832,8.002,6.234,53.985,0.45
1.173,73.493,8.073,6.418,57.391,0.453
1.214,76.62,7.975,6.632,60.289,0.449
1.258,79.564,7.807,6.866,63.087,0.468
1.314,83.637,7.994,7.446,66.282,0.491
1.301,86.818,8.263,8.242,68.338,0.483
1.294,89.745,8.371,8.811,70.545,0.485
1.256,92.828,8.108,9.003,73.701,0.487
1.182,93.562,8.139,9.604,74.224,0.477
1.167,97.203,8.67,10.134,76.813,0.499
1.16,95.372,7.651,10.577,75.579,0.502
1.103,97.144,7.818,11.286,76.531,0.515
1.116,98.501,7.811,12.192,76.98,0.519
1.106,99.34,7.898,13.424,76.508,0.506
1.084,107.063,9.404,15.404,80.722,0.527
1.091,121.552,10.493,14.903,94.672,0.59
1.079,112.491,10.414,18.428,82.21,0.529
1.064,114.307,10.75,21.249,80.451,0.518
1.04,109.142,10.704,22.439,74.185,0.488
0.985,108.345,10.192,26.589,66.944,0.476
0.947,104.072,9.872,25.384,64.549,0.448
0.908,93.483,8.734,33.09,47.716,0.414
0.854,80.562,7.663,30.05,39.451,0.353
0.63,67.879,6.312,26.765,32.582,0.295
0.563,60.906,5.889,24.34,28.607,0.259
0.637,61.735,5.843,26.23,27.511,0.255
0.825,61.588,5.03,30.213,23.729,0.252
0.914,60.073,4.777,29.595,23.02,0.247
0.885,57.966,4.112,30.693,20.823,0.233
0.862,54.906,4.198,31.337,17.209,0.215
0.822,54.003,3.735,31.648,16.439,0.21
0.982,53.844,3.227,31.999,16.129,0.205
1.164,55.088,3.142,33.6,15.545,0.199
1.301,58.254,2.97,36.354,15.873,0.204
1.466,59.31,2.963,36.976,15.957,0.2
1.572,61.744,2.892,37.419,17.94,0.202
1.617,60.218,2.793,37.868,16.007,0.191
1.808,62.836,2.628,38.635,17.911,0.196
1.874,60.578,2.677,31.82,22.486,0.192
1.97,62.445,2.901,39.553,16.326,0.187
1.966,61.308,2.975,37.378,17.421,0.178
2.189,62.545,5.004,36.817,17.089,0.179
2.37,64.126,4.838,36.9,18.704,0.182
2.653,63.649,4.634,36.594,18.384,0.179
2.269,58.799,4.094,33.957,17.178,0.166
2.206,58.134,3.692,33.885,17.313,0.164
2.227,59.382,3.882,34.769,17.345,0.165
2.163,62.157,3.963,36.813,18.178,0.169
2.276,62.096,4.1,36.684,18.037,0.168
2.302,59.056,3.781,34.09,17.903,0.169
2.239,60.938,3.863,36.171,17.708,0.166
2.239,58.801,3.863,35.107,16.635,0.158
,6.397,6.397,0.0,0.0,15.87
,6.196,6.196,0.0,0.0,6.963
,4.463,4.463,0.0,0.0,5.361
,4.716,4.716,0.0,0.0,5.744
,4.565,4.565,0.0,0.0,5.484
,4.408,4.408,0.0,0.0,4.966
,4.76,4.76,0.0,0.0,4.887
,5.599,5.599,0.0,0.0,5.237
,5.998,5.998,0.0,0.0,5.648
,6.123,6.123,0.0,0.0,5.784
,6.709,6.709,0.0,0.0,6.118
,7.727,7.727,0.0,0.0,6.504
,7.39,7.39,0.0,0.0,6.049
,7.68,7.68,0.0,0.0,5.935
,7.112,7.112,0.0,0.0,5.373
,7.801,7.801,0.0,0.0,5.496
,8.218,8.218,0.0,0.0,5.301
,8.966,8.966,0.0,0.0,5.687
,9.318,9.318,0.0,0.0,5.457
,8.284,8.284,0.0,0.0,4.773
,8.735,8.735,0.0,0.0,4.723
,9.332,9.332,0.0,0.0,4.743
,10.168,10.168,0.0,0.0,5.118
,11.41,11.41,0.0,0.0,5.501
,11.787,11.787,0.0,0.0,5.429
,13.058,13.058,0.0,0.0,5.12
,13.377,13.377,0.0,0.0,5.143
,13.212,13.212,0.0,0.0,4.765
,13.755,13.755,0.0,0.0,4.914
,14.451,14.451,0.0,0.0,5.084
,14.898,14.898,0.0,0.0,4.942
,15.213,15.213,0.0,0.0,4.597
,16.459,16.459,0.0,0.0,4.732
,16.345,16.345,0.0,0.0,4.611
,17.228,17.228,0.0,0.0,4.556
,18.082,18.082,0.0,0.0,4.435
,19.06,19.06,0.0,0.0,4.403
,20.529,20.529,0.0,0.0,4.597
,22.233,22.233,0.0,0.0,4.65
,20.101,20.101,0.0,0.0,4.089
,21.651,21.651,0.0,0.0,4.148
,24.747,24.747,0.0,0.0,4.64
,23.717,23.717,0.0,0.0,4.184
,25.589,25.589,0.0,0.0,4.079
,28.107,28.107,0.0,0.0,4.217
,25.915,25.915,0.0,0.0,4.152
,26.93,26.93,0.0,0.0,3.977
,26.319,26.319,0.0,0.0,3.832
,25.051,25.051,0.0,0.0,3.577
,27.238,27.238,0.0,0.0,3.858
,27.733,27.733,0.0,0.0,3.668
,30.426,30.426,0.0,0.0,3.563
,30.631,30.631,0.0,0.0,3.467
,32.437,32.437,0.0,0.0,3.475
,34.383,34.383,0.0,0.0,3.463
,33.87,33.87,0.0,0.0,3.373
,33.082,33.082,0.0,0.0,3.27
,32.104,32.104,0.0,0.0,3.125
,33.969,33.969,0.0,0.0,3.149
,36.054,36.054,0.0,0.0,3.019
,36.834,36.834,0.0,0.0,3.083
,39.824,39.824,0.0,0.0,3.063
,37.78,37.78,0.0,0.0,2.774
,37.728,37.728,0.0,0.0,2.749
,36.076,36.076,0.0,0.0,2.661
,39.831,39.831,0.0,0.0,2.839
,40.132,40.132,0.0,0.0,2.698
,42.279,42.279,0.0,0.0,2.752
,43.744,43.744,0.0,0.0,2.718
,45.086,45.086,0.0,0.0,2.657
,47.126,47.126,0.0,0.0,2.542
,49.666,49.666,0.0,0.0,2.544
,46.709,46.709,0.0,0.0,2.316
,48.856,48.856,0.0,0.0,2.363
,52.63,52.63,0.0,0.0,2.335
,50.351,50.351,0.0,0.0,2.209
,50.266,50.266,0.0,0.0,2.071
,57.495,57.495,0.0,0.0,2.268
,58.324,58.324,0.0,0.0,2.019
,57.847,57.847,0.0,0.0,2.084
,57.763,57.763,0.0,0.0,1.998
,61.288,61.288,0.0,0.0,2.02
,61.687,61.687,0.0,0.0,2.003
,64.776,64.776,0.0,0.0,2.002
,68.015,66.82,0.0,1.194,1.94
,40.575,40.575,0.0,0.0,1.276
,34.42,34.42,0.0,0.0,1.098
,45.793,45.793,0.0,0.0,1.352
,36.248,36.248,0.0,0.0,1.024
,33.723,33.723,0.0,0.0,0.965
,44.869,44.869,0.0,0.0,1.481
,55.154,55.154,0.0,0.0,1.566
,50.534,50.534,0.0,0.0,1.635
,55.909,55.271,0.0,0.638,1.725
,71.884,70.939,0.0,0.945,1.955
,76.255,75.156,0.0,1.099,2.068
,78.04,76.871,0.0,1.169,2.094
,77.684,76.526,0.0,1.158,2.122
,90.475,89.354,0.0,1.121,2.264
1.505,88.246,84.803,0.0,1.938,2.218
1.606,96.955,93.183,0.0,2.165,2.27
1.508,93.672,89.915,0.0,2.25,2.378
1.218,84.123,80.579,0.0,2.327,2.39
1.039,67.713,64.157,0.0,2.517,2.134
0.963,72.657,69.14,0.0,2.554,2.174
0.938,74.958,70.836,0.0,3.184,2.063
1.087,71.641,67.857,0.0,2.697,1.878
1.163,75.004,70.191,0.0,3.649,1.792
1.486,90.298,85.173,0.0,3.638,2.018
1.508,79.119,74.163,0.0,3.448,1.881
1.261,73.709,72.448,0.0,0.0,1.656
0.105,62.104,61.999,0.0,0.0,1.278
0.313,65.184,64.871,0.0,0.0,1.311
0.251,61.077,60.826,0.0,0.0,1.231
0.229,57.853,57.624,0.0,0.0,1.147
0.298,33.138,32.84,0.0,0.0,0.647
0.32,38.755,38.435,0.0,0.0,0.91
0.934,56.411,55.477,0.0,0.0,1.214
1.29,82.03,74.317,0.0,6.423,1.594
1.646,85.057,76.589,0.0,6.822,1.568
1.446,80.772,73.042,0.0,6.283,1.559
1.759,76.2,68.194,0.007,6.24,1.285
2.173,89.45,79.688,0.029,7.559,1.402
2.032,83.464,73.02,0.059,8.354,1.291
2.286,82.374,70.422,0.07,9.596,1.239
2.162,85.735,72.928,0.055,10.589,1.263
2.319,92.017,76.805,0.077,12.816,1.236
2.304,96.78,80.143,0.092,14.242,1.221
2.326,96.487,77.779,0.106,16.276,1.179
2.006,87.685,66.754,0.106,18.818,1.042
2.195,88.31,66.417,0.092,19.606,0.997
2.17,90.908,67.908,0.062,20.768,0.969
2.351,92.698,66.989,0.07,23.288,0.985
2.366,98.018,68.54,0.077,27.036,1.006
2.326,105.676,71.281,0.07,32.0,1.029
2.889,103.554,65.021,0.073,35.57,0.957
2.918,105.331,61.837,0.095,40.48,0.931
2.864,105.097,58.19,0.202,43.842,0.886
2.875,107.361,56.873,0.927,46.687,0.877
2.838,118.438,58.466,2.393,54.74,0.918
3.1,123.492,55.885,4.954,59.553,0.897
3.325,125.49,48.999,7.837,65.329,0.842
3.397,121.371,40.407,10.816,66.751,0.783
3.442,130.638,42.13,13.597,71.468,0.805
3.39,138.639,45.238,16.381,73.63,0.812
3.563,134.95,48.458,19.152,63.777,0.793
3.252,121.823,38.479,18.653,61.438,0.715
3.515,129.678,41.264,19.914,64.985,0.721
3.602,126.199,38.83,19.671,64.096,0.682
3.48,135.45,43.649,19.503,68.817,0.711
3.508,139.787,47.104,21.313,67.861,0.713
3.372,134.836,47.157,20.391,63.917,0.692
2.988,123.574,46.21,18.807,55.568,0.65
2.796,117.102,45.633,15.525,53.148,0.621
2.505,101.202,36.633,16.294,45.771,0.533
2.473,104.967,42.008,16.814,43.671,0.534
2.376,104.004,40.711,16.77,44.148,0.512
2.446,102.367,36.06,13.483,50.378,0.497
2.393,102.589,36.454,15.096,48.645,0.483
2.683,99.743,33.125,14.901,49.034,0.452
2.768,106.792,40.067,16.558,47.399,0.477
2.824,120.293,41.394,19.846,53.486,0.529
2.88,123.363,40.122,21.617,56.181,0.531
3.089,122.488,38.118,22.204,56.616,0.543
3.082,121.424,36.562,23.212,56.112,0.533
3.179,124.797,38.013,23.696,57.37,0.542
3.255,125.936,36.955,26.305,56.739,0.535
3.009,129.479,34.203,29.213,60.542,0.534
3.162,123.991,31.916,27.74,58.612,0.508
3.175,130.223,33.214,30.866,60.337,0.535
3.113,124.681,28.931,32.97,57.004,0.502
3.27,126.722,31.672,33.199,55.732,0.497
2.957,126.066,28.29,32.937,59.054,0.491
2.993,126.863,28.637,33.256,59.079,0.483
2.933,128.248,27.766,34.992,59.783,0.464
2.837,128.771,28.252,34.983,59.75,0.45
2.934,125.628,26.196,35.641,58.073,0.425
3.112,123.873,25.337,35.388,57.103,0.405
3.087,120.463,23.158,35.637,55.772,0.382
3.033,120.17,23.259,35.69,55.349,0.375
2.795,107.765,15.162,36.482,51.247,0.342
2.582,114.604,17.526,40.349,51.863,0.344
2.762,105.069,16.689,34.579,48.646,0.305
2.643,102.405,15.078,34.918,47.557,0.293
2.541,102.715,15.332,35.279,47.362,0.292
2.643,97.029,14.794,30.998,46.404,0.274
2.348,101.146,14.436,33.815,48.282,0.285
2.436,99.623,13.541,34.369,47.116,0.281
2.291,99.055,13.307,35.023,46.262,0.275
2.534,99.967,13.366,36.091,45.807,0.272
2.819,99.47,13.191,36.193,45.279,0.269
2.634,91.101,10.55,36.047,40.129,0.26
2.659,95.668,11.708,36.32,43.162,0.26
2.659,89.605,12.772,31.649,40.705,0.241
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.018,0.0,0.0,0.018,0.0
0.0,0.026,0.0,0.0,0.026,0.0
0.0,0.026,0.0,0.0,0.026,0.0
0.0,0.029,0.0,0.0,0.029,0.0
0.0,0.029,0.0,0.0,0.029,0.0
0.0,0.029,0.0,0.0,0.029,0.0
0.0,0.029,0.0,0.0,0.029,0.0
0.0,0.029,0.0,0.0,0.029,0.0
0.0,0.04,0.0,0.0,0.04,0.0
0.0,0.04,0.0,0.0,0.04,0.0
0.0,0.044,0.0,0.0,0.044,0.0
0.0,0.037,0.0,0.0,0.037,0.0
0.0,0.07,0.0,0.0,0.07,0.001
0.0,0.062,0.0,0.0,0.062,0.001
0.0,0.084,0.0,0.0,0.084,0.001
0.0,0.084,0.0,0.0,0.084,0.001
0.0,0.081,0.0,0.0,0.081,0.001
0.0,0.121,0.0,0.0,0.121,0.001
0.0,0.103,0.0,0.0,0.103,0.001
0.0,0.136,0.0,0.0,0.136,0.001
0.0,0.121,0.0,0.0,0.121,0.001
0.0,0.143,0.0,0.0,0.143,0.001
