cement_co2,co2,coal_co2,gas_co2,oil_co2,share_global_co2
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.0,,,,0.0
0.0,0.022,0.022,0.0,0.0,0.002
0.0,0.037,0.037,0.0,0.0,0.004
0.0,0.048,0.048,0.0,0.0,0.005
0.0,0.048,0.048,0.0,0.0,0.004
0.0,0.081,0.081,0.0,0.0,0.007
0.0,0.132,0.132,0.0,0.0,0.011
0.0,0.297,0.297,0.0,0.0,0.023
0.0,0.297,0.297,0.0,0.0,0.022
0.0,0.48,0.48,0.0,0.0,0.035
0.0,1.799,1.799,0.0,0.0,0.133
0.0,2.433,2.433,0.0,0.0,0.173
0.0,3.338,3.338,0.0,0.0,0.224
0.0,4.258,4.258,0.0,0.0,0.277
0.0,4.778,4.778,0.0,0.0,0.297
0.0,6.049,6.049,0.0,0.0,0.356
0.0,5.518,5.518,0.0,0.0,0.298
0.0,2.33,2.33,0.0,0.0,0.119
0.0,3.909,3.909,0.0,0.0,0.194
0.0,5.826,5.826,0.0,0.0,0.282
0.0,7.896,7.896,0.0,0.0,0.35
0.0,8.911,8.911,0.0,0.0,0.391
0.0,10.263,10.263,0.0,0.0,0.423
0.0,11.717,11.717,0.0,0.0,0.462
0.0,12.93,12.93,0.0,0.0,0.448
0.0,13.403,13.403,0.0,0.0,0.483
0.0,15.385,15.385,0.0,0.0,0.532
0.0,17.411,17.411,0.0,0.0,0.574
0.0,16.865,16.854,0.0,0.011,0.548
0.0,17.954,17.869,0.0,0.084,0.555
0.0,19.606,19.566,0.0,0.04,0.559
0.0,19.551,19.243,0.0,0.308,0.615
0.0,19.606,19.514,0.0,0.092,0.625
0.0,23.255,23.072,0.0,0.183,0.687
0.0,25.344,24.919,0.0,0.425,0.716
0.0,24.725,23.856,0.0,0.868,0.708
0.0,25.443,24.751,0.0,0.692,0.84
0.0,28.052,27.594,0.0,0.458,0.797
0.0,27.986,27.425,0.0,0.561,0.906
0.0,23.97,23.435,0.0,0.534,0.74
0.0,29.045,28.572,0.0,0.473,0.79
0.0,30.631,30.126,0.0,0.505,0.831
0.0,32.185,31.624,0.0,0.561,0.864
0.0,34.438,33.903,0.0,0.535,0.941
0.0,33.841,33.269,0.0,0.572,0.847
0.127,34.77,33.815,0.0,0.828,0.874
0.366,35.802,34.59,0.0,0.846,0.838
0.261,33.696,32.555,0.0,0.88,0.856
0.266,29.464,28.307,0.0,0.89,0.837
0.432,26.623,25.355,0.0,0.835,0.839
0.464,28.491,27.29,0.0,0.736,0.853
0.534,32.539,31.324,0.0,0.682,0.895
0.61,35.91,34.743,0.0,0.557,0.941
0.691,39.016,37.765,0.0,0.561,0.932
0.727,41.844,40.582,0.0,0.535,0.935
0.75,44.013,42.56,0.0,0.703,1.046
0.73,46.853,43.957,0.11,2.056,1.053
0.653,49.649,46.039,0.092,2.865,1.021
0.72,54.023,49.442,0.099,3.763,1.087
0.77,58.823,54.304,0.106,3.642,1.186
0.809,60.12,55.237,0.117,3.957,1.192
0.969,66.633,61.371,0.131,4.162,1.302
0.937,67.527,62.303,0.136,4.151,1.586
1.144,68.159,62.938,0.135,3.942,1.467
1.281,67.935,62.415,0.136,4.104,1.32
1.424,71.733,64.359,0.139,5.811,1.322
1.532,77.324,68.58,0.14,7.072,1.492
2.014,94.868,68.983,0.004,23.867,1.6
2.269,101.125,72.749,0.004,26.104,1.585
2.327,110.325,79.383,0.007,28.608,1.706
2.637,112.007,79.053,0.015,30.302,1.684
3.041,117.536,81.77,0.022,32.704,1.731
3.409,129.402,91.675,0.022,34.297,1.738
3.517,135.106,95.594,0.029,35.966,1.705
3.681,141.593,99.299,0.022,38.591,1.73
3.989,148.671,103.144,0.018,41.52,1.766
4.189,147.841,101.676,0.035,41.942,1.67
4.399,156.567,103.522,0.047,48.598,1.668
4.3,161.994,105.003,0.498,52.193,1.721
4.461,166.335,106.668,0.74,54.466,1.707
4.798,176.335,109.186,0.718,60.485,1.718
5.318,193.639,115.604,1.451,69.389,1.789
5.691,213.634,124.891,2.123,75.982,1.889
5.841,221.082,123.843,2.36,83.845,1.864
5.964,237.045,127.101,2.319,80.898,1.937
6.857,257.384,132.504,2.364,85.991,1.995
7.895,277.916,135.191,2.89,93.614,2.02
8.596,302.624,140.097,0.816,98.18,2.031
9.231,331.861,149.906,1.693,115.056,2.141
9.742,351.871,153.924,4.414,119.141,2.169
10.295,378.003,154.291,5.36,128.051,2.213
10.753,388.39,157.241,5.111,133.922,2.283
10.848,387.265,162.187,6.422,143.499,2.271
11.101,420.141,171.906,8.885,150.449,2.336
11.837,433.115,176.693,13.669,159.366,2.342
12.515,462.487,178.676,34.434,165.156,2.426
13.456,499.061,197.363,19.657,180.866,2.546
14.673,535.678,212.398,34.632,197.728,2.75
15.928,548.571,237.34,29.401,213.362,2.885
17.024,571.727,250.232,23.985,235.536,3.031
18.731,594.561,260.943,30.431,243.177,3.132
19.462,649.325,286.063,47.57,250.666,3.306
19.119,665.686,294.697,48.848,251.621,3.278
18.417,689.698,305.787,58.357,254.118,3.347
20.019,689.703,312.518,67.872,244.433,3.246
21.568,724.697,322.719,68.952,262.225,3.283
22.508,697.797,313.482,71.403,268.357,3.118
22.755,658.281,295.753,75.954,243.024,2.893
24.384,687.829,306.648,78.466,257.532,2.961
24.768,666.901,288.434,74.272,256.077,2.955
24.414,706.661,318.584,81.721,260.152,3.1
24.884,790.281,330.423,85.589,256.573,3.431
26.9,844.557,346.584,101.556,265.234,3.59
27.419,872.321,352.718,108.019,264.502,3.597
